corpus,wordcount_mean,awl_mean,ttr_mean,amp_mean,andc_mean,caus_mean,demp_mean,dpar_mean,emph_mean,fpp1_mean,hdg_mean,inpr_mean,jj_mean,nn_mean,pin_mean,pit_mean,pomd_mean,spp2_mean,vprt_mean,xx0_mean,bema_mean,cont_mean,prod_mean,sere_mean,stpr_mean,thatd_mean,whcl_mean,whqu_mean,wordcount_max,awl_max,ttr_max,amp_max,andc_max,caus_max,demp_max,dpar_max,emph_max,fpp1_max,hdg_max,inpr_max,jj_max,nn_max,pin_max,pit_max,pomd_max,spp2_max,vprt_max,xx0_max,bema_max,cont_max,prod_max,sere_max,stpr_max,thatd_max,whcl_max,whqu_max,wordcount_min,awl_min,ttr_min,amp_min,andc_min,caus_min,demp_min,dpar_min,emph_min,fpp1_min,hdg_min,inpr_min,jj_min,nn_min,pin_min,pit_min,pomd_min,spp2_min,vprt_min,xx0_min,bema_min,cont_min,prod_min,sere_min,stpr_min,thatd_min,whcl_min,whqu_min,wordcount_sd,awl_sd,ttr_sd,amp_sd,andc_sd,caus_sd,demp_sd,dpar_sd,emph_sd,fpp1_sd,hdg_sd,inpr_sd,jj_sd,nn_sd,pin_sd,pit_sd,pomd_sd,spp2_sd,vprt_sd,xx0_sd,bema_sd,cont_sd,prod_sd,sere_sd,stpr_sd,thatd_sd,whcl_sd,whqu_sd
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,HOC,JOC,RATIO,LOGODDS,PROBABILITY,Log Ratio,,,,,,,,,,,,whqu_mean,2.013613907,4.037924418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,whqu_mean,0.131647399,0.03260274,4.037924418,1.395730802,0.198494443,2.013613907,whqu_mean,0.198494443,,pos,whqu_mean,1.395730802,,,,,,inpr_mean,1.175628151,2.258912128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,inpr_mean,0.098092486,0.043424658,2.258912128,0.814883338,0.306850863,1.175628151,inpr_mean,0.306850863,,pos,inpr_mean,0.814883338,,,,,,sere_mean,1.138743544,2.20189175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,sere_mean,0.058063584,0.026369863,2.20189175,0.789316877,0.312315368,1.138743544,sere_mean,0.312315368,,pos,sere_mean,0.789316877,,,,,,stpr_mean,0.908656731,1.877296765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,stpr_mean,0.120867052,0.064383562,1.877296765,0.629832851,0.347548439,0.908656731,stpr_mean,0.347548439,,pos,stpr_mean,0.629832851,,,,,,spp2_mean,0.47185377,1.386890388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,spp2_mean,0.542312139,0.391027397,1.386890388,0.32706411,0.418955141,0.47185377,spp2_mean,0.418955141,,pos,spp2_mean,0.32706411,,ttr_mean,0.246535348,,,demp_mean,0.365756787,1.288557384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,demp_mean,0.627774566,0.487191781,1.288557384,0.253523285,0.436956489,0.365756787,demp_mean,0.436956489,,pos,demp_mean,0.253523285,,pin_mean,0.213162252,,,ttr_mean,0.355675324,1.279584414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ttr_mean,219.3786127,171.4452055,1.279584414,0.246535348,0.438676451,0.355675324,ttr_mean,-0.438676451,,neg,hdg_mean,0.181955485,,jj_mean,0.088473824,,,pin_mean,0.307528124,1.237585436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,pin_mean,9.445404624,7.632123288,1.237585436,0.213162252,0.44691031,0.307528124,pin_mean,-0.44691031,,neg,wordcount_mean,0.173149636,,nn_mean,0.027771918,,,hdg_mean,0.262506276,1.199560795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
