Filename	Tokens	AWL	TTR	#	$	''	,	-LRB-	-RRB-	.	:	AMP	ANDC	CAUS	CC	CD	CONC	COND	CONJ	DEMO	DEMP	DPAR	DT	DWNT	EMPH	EX	FPP1	FW	GER	HDG	IN	INPR	JJ	LS	NEMD	NN	NOMZ	OSUB	PDT	PHC	PIN	PIT	PLACE	POMD	POS	PRED	PRMD	PRP	QUAN	QUPR	RB	RP	SPP2	SYM	SYNE	THAC	THVC	TIME	TO	TOBJ	TPP3	TSUB	UH	VB	VBD	VBG	VBN	VPRT	WDT	WP	WPS	XX0	[BEMA]	[BYPA]	[CONT]	[PASS]	[PASTP]	[PEAS]	[PIRE]	[PRESP]	[PRIV]	[PROD]	[PUBV]	[SERE]	[SMP]	[SPAU]	[SPIN]	[STPR]	[SUAV]	[THATD]	[WHCL]	[WHOBJ]	[WHQU]	[WHSUB]	[WZPAST]	[WZPRES]	``	
HOC-MY	4870	4.47	218	0	0	0.33	3.00	0.16	0.16	5.34	0.43	0.14	0.41	0.16	2.14	1.33	0.06	0.68	0.35	0.76	0.53	0	8.09	0.33	1.23	0.33	1.99	0.12	0.55	0.02	1.38	0.18	5.65	0	0.47	21.13	1.58	0.23	0.02	0.70	9.34	1.09	0.47	0.70	0.23	1.07	0.64	0	1.13	0.33	4.87	0.45	0.80	0	0.33	0.04	0.43	0.23	2.16	0.12	2.18	0.10	0.06	5.24	1.05	3.04	3.04	8.07	0.23	0.64	0	1.38	2.77	0.10	0.84	1.38	0	0.60	0.04	0.16	1.23	0.31	0.66	0.02	0.14	0.57	0.02	0.08	0.33	0.25	0.10	0	0.16	0.33	0.10	0.51	0.37	
HOC-MZ	5195	4.26	209	0	0	0.54	3.18	0.25	0.25	6.08	0.50	0.17	0.48	0.31	2.44	0.54	0.08	0.58	0.13	0.77	0.65	0.06	6.66	0.25	1.27	0.21	4.02	0.06	0.19	0.06	1.42	0.04	5.27	0	0.64	19.17	1.19	0.12	0	0.77	8.47	1.42	0.23	0.65	0.56	1.15	0.85	0.02	1.27	0.56	3.95	0.23	0.83	0	0.19	0.08	0.56	0.19	2.08	0.21	4.62	0.27	0.08	6.47	1.67	2.04	2.18	8.91	0.17	0.89	0.02	2.00	2.68	0.08	1.81	1.17	0.04	0.52	0	0.12	1.89	0.17	0.96	0.04	0.10	0.56	0.02	0.21	0.42	0.52	0.13	0.08	0.08	0.19	0.06	0.29	0.60	
HOC-NA	4286	4.56	226	0	0	0.63	4.18	0.30	0.33	5.58	0.63	0.35	0.58	0.19	2.12	0.63	0.12	0.42	0.28	0.65	0.72	0.02	7.28	0.33	1.10	0.28	3.59	0.09	0.51	0.07	1.61	0.19	6.79	0	0.75	19.18	1.82	0.09	0	0.82	8.75	1.80	0.19	1.12	0.49	1.07	1.03	0	1.14	0.49	4.69	0.12	0.58	0	0.21	0.12	0.44	0.56	2.54	0.05	1.89	0.21	0.14	6.32	2.26	1.94	2.40	6.35	0.14	1.03	0	1.66	2.38	0.09	1.35	1.14	0	0.65	0.02	0.09	1.98	0.26	1.00	0.05	0.16	0.58	0	0.09	0.21	0.30	0.23	0	0.16	0.28	0.14	0.21	0.63	
HOC-NB	7498	4.55	208	0	0.01	0.45	3.48	0.24	0.27	5.29	0.63	0.21	0.71	0.19	1.83	0.71	0.05	0.21	0.21	0.89	0.63	0.12	8.74	0.32	0.77	0.19	1.69	0.01	0.15	0.04	1.23	0.13	5.89	0	0.29	21.90	2.28	0.29	0	0.92	9.47	1.44	0.31	0.81	0.37	0.95	1.07	0.01	1.29	0.25	3.95	0.19	0.45	0.03	0.21	0.08	0.64	0.29	2.16	0.29	3.25	0.13	0.04	5.23	2.08	1.72	2.57	7.46	0.23	0.88	0.01	1.53	2.32	0.17	0.92	1.08	0.01	0.83	0.01	0.16	1.73	0.16	0.49	0.07	0.12	0.48	0	0.09	0.44	0.21	0.11	0.03	0.16	0.39	0.08	0.29	0.48	
HOC-NC	2905	4.60	214	0	0.07	0.28	3.17	0.14	0.14	6.09	0.72	0.14	0.45	0.38	2.41	0.59	0	0.34	0.14	1.14	0.45	0.03	7.57	0.28	1.24	0.24	2.07	0.03	0.52	0	1.41	0.21	5.23	0	0.41	21.93	2.41	0	0	0.72	8.57	2.27	0.34	0.62	0.48	1.24	1.10	0.03	1.14	0.45	4.30	0.28	0.52	0.03	0.21	0.07	0.28	0.55	1.96	0.31	2.62	0.31	0	5.37	1.69	2.10	2.55	8.43	0.17	0.52	0	1.55	2.79	0.10	1.14	1.10	0	1.03	0.07	0	1.48	0.28	0.62	0.07	0.10	0.62	0.07	0.14	0.48	0.41	0.17	0	0.10	0.17	0.03	0.28	0.28	
HOC-ND	4013	4.67	228	0	0.02	0.57	4.51	0.20	0.20	5.61	0.55	0.17	0.55	0.02	1.87	0.35	0.05	0.52	0.35	0.67	0.52	0	9.27	0.20	0.95	0.15	2.69	0.10	0.27	0.10	1.32	0.07	6.90	0.10	0.37	23.27	2.47	0.17	0	1.00	10.57	1.07	0.37	0.70	0.37	0.85	0.62	0	1.47	0.32	3.41	0.12	0.27	0	0.20	0.07	0.52	0.25	1.97	0.20	1.69	0.25	0.02	4.91	0.97	2.62	2.19	7.55	0.22	0.65	0.02	1.22	2.04	0.15	0.92	0.85	0.05	0.52	0	0.10	1.45	0.10	0.65	0.02	0.07	0.32	0	0.12	0.47	0.15	0.10	0.07	0.12	0.17	0.10	0.47	0.57	
HOC-NE	7381	4.39	220	0.26	0	0.22	3.08	0.31	0.34	5.13	0.43	0.22	0.47	0.11	1.95	1.12	0.01	0.46	0.20	0.84	0.69	0.04	7.80	0.18	1.23	0.19	3.40	0.12	0.58	0	1.64	0.08	6.54	0	0.56	20.69	2.32	0.16	0	0.95	9.58	1.25	0.34	0.61	0.26	0.76	1.34	0.01	1.10	0.35	3.89	0.27	0.60	0	0.20	0.05	0.20	0.41	3.05	0.14	1.75	0.20	0.04	6.65	1.08	2.51	2.05	6.33	0.19	0.89	0.01	1.42	1.80	0.04	1.00	0.84	0.04	0.43	0	0.08	1.54	0.20	0.34	0.09	0.09	0.42	0	0.18	0.33	0.30	0.14	0.07	0.15	0.37	0.15	0.34	0.20	
HOC-NF	4940	4.44	200	0.06	0	0.36	3.89	0.18	0.22	5.49	0.30	0.16	0.59	0.24	2.47	1.17	0.06	0.69	0.26	1.01	0.57	0.06	7.41	0.28	1.01	0.22	3.97	0	0.45	0.02	1.70	0.06	5.93	0	0.34	18.24	2.43	0.10	0	0.91	9.78	1.96	0.32	0.55	0.16	1.26	0.77	0	1.38	0.34	4.15	0.47	1.66	0	0.32	0.06	0.65	0.40	1.98	0.18	1.50	0.16	0.08	4.55	1.46	1.92	2.33	8.48	0.20	0.83	0	1.78	2.91	0.06	1.17	0.97	0.02	0.45	0.08	0.14	1.64	0.14	0.59	0.10	0.12	0.30	0	0.12	0.20	0.30	0.06	0.06	0.14	0.32	0.10	0.36	0.36	
HOC-NG	6817	4.37	208	0.03	0	0.66	3.27	0.53	0.54	5.31	0.70	0.34	0.47	0.21	2.48	0.85	0.09	0.69	0.32	0.76	0.57	0.03	8.05	0.21	0.89	0.15	4.72	0.04	0.37	0.01	1.75	0.12	4.74	0	0.35	17.65	2.38	0.13	0.01	0.54	9.15	1.39	0.22	0.73	0.26	1.13	0.95	0.03	1.13	0.57	4.69	0.25	1.55	0.01	0.31	0.03	0.28	0.41	2.11	0.21	2.51	0.19	0.03	5.28	2.33	2.38	2.71	7.58	0.18	0.97	0.06	1.53	2.42	0.06	1.47	0.79	0.01	1.10	0.01	0.19	1.79	0.38	0.60	0.07	0.13	0.63	0.03	0.13	0.41	0.34	0.07	0.09	0.15	0.54	0.09	0.22	0.65	
HOC-NH	6272	4.56	232	0	0	0.41	2.79	0.03	0.03	5.72	0.48	0.18	0.24	0.10	2.02	0.73	0.02	0.57	0.27	0.99	0.81	0.05	7.86	0.22	0.75	0.27	3.64	0	0.30	0	1.39	0.14	6.31	0	0.64	20.14	2.79	0.13	0	0.73	9.42	1.45	0.37	0.62	0.24	0.96	1.71	0.02	1.71	0.32	3.78	0.32	0.67	0	0.30	0.14	0.46	0.29	2.68	0.14	1.02	0.27	0.02	6.76	0.96	2.10	2.55	6.89	0.26	0.81	0.02	1.48	2.25	0.14	1.00	1.18	0	0.70	0.05	0.05	1.40	0.18	0.49	0.02	0.11	0.75	0	0.10	0.56	0.32	0.10	0.02	0.18	0.22	0.06	0.33	0.45	
HOC-AA	1621	4.32	212	0.43	0	0.31	2.53	0.06	0.06	6.11	0.68	0.19	0.37	0.31	1.73	0.80	0.06	0.56	0.37	0.62	0.62	0.06	7.40	0.31	1.36	0	3.15	0	0.49	0	1.48	0.74	4.94	0	0.49	17.71	2.47	0.12	0	0.37	10.36	3.27	0.37	0.80	0.49	1.36	0.80	0.06	2.10	0.86	4.32	0.19	0.31	0	0.06	0.12	0.37	0.06	3.02	0.19	2.41	0.25	0.06	6.48	0.99	1.73	1.73	8.39	0.19	0.31	0	1.73	3.27	0	1.91	0.56	0.12	0.68	0	0.12	1.23	0.25	0.25	0	0.31	0.43	0.06	0.25	0.06	0.37	0	0	0.12	0.12	0.12	0.06	0.31	
HOC-AB	2293	4.29	229	0.31	0	0.44	1.88	0.35	0.48	4.88	0.96	0.26	0.31	0.17	2.70	1.44	0.13	0.44	0.22	0.61	0.39	0.04	8.02	0.22	0.87	0.39	4.62	0.04	0.39	0	1.70	0.13	6.28	0.04	0.31	18.23	2.83	0.13	0	0.52	9.77	1.31	0.44	1.05	0.31	0.96	1.18	0	1.00	0.48	3.97	0.35	0.96	0	0.26	0.04	0.26	0.65	2.79	0.17	1.05	0.22	0	6.45	1.61	2.18	1.35	6.85	0.35	0.61	0	1.88	2.31	0.04	1.92	0.39	0	0.39	0.04	0	0.96	0.26	0.26	0.17	0.09	0.39	0	0.04	0.22	0.09	0	0	0.13	0.26	0.13	0.17	0.48	
HOC-AC	2139	4.54	226	0	0	0.23	2.43	0.23	0.23	5.84	0.51	0.14	0.23	0	1.73	0.70	0	0.47	0.37	0.98	1.17	0	9.30	0.28	1.12	0.19	2.29	0.05	0.42	0.05	0.94	0	6.17	0	0.47	20.52	3.51	0.23	0	0.84	9.44	2.24	0.56	0.75	0.28	0.79	1.73	0	0.61	0.33	3.74	0.33	0.19	0	0.19	0.05	0.28	0.33	2.29	0.05	1.78	0.14	0.05	6.08	0.94	3.23	2.29	6.73	0.19	0.79	0	1.59	2.43	0	1.03	1.03	0	0.79	0.05	0.14	1.82	0.19	0.19	0.09	0.05	0.75	0	0.09	0.47	0.33	0	0	0.23	0	0.14	0.65	0.23	
HOC-AD	2020	4.60	220	0	0	0.15	2.28	0.10	0.10	5.40	0.59	0.45	0.30	0.20	1.58	0.45	0	0.20	0.15	0.89	0.40	0.15	8.17	0.45	1.14	0.20	1.98	0	0.30	0.05	1.19	0.05	6.34	0	0.59	18.07	3.12	0.20	0	0.74	8.27	2.08	0.10	0.59	0.40	0.99	0.89	0	1.49	0.40	3.76	0.35	0.40	0.05	0.20	0.25	0.64	0.74	3.17	0.30	3.76	0.15	0	6.53	1.83	1.78	3.22	7.82	0.30	0.54	0	1.63	2.52	0.20	1.09	1.73	0	0.64	0.15	0.05	1.78	0.10	0.35	0	0.15	0.64	0.05	0.20	0.50	0.15	0.15	0	0.20	0.30	0.10	0.45	0.15	
HOC-AE	5410	4.40	198	0.04	0	0.33	3.40	0.28	0.28	5.10	0.63	0.26	0.74	0.44	1.81	0.65	0.04	1.11	0.39	0.79	1.16	0.02	6.56	0.22	1.46	0.35	3.35	0.02	0.18	0.09	1.57	0.13	6.30	0	0.87	18.10	2.31	0.13	0	0.61	8.61	1.61	0.17	0.70	0.37	1.02	0.85	0.02	1.39	0.83	4.92	0.15	1.07	0	0.20	0.07	0.35	0.28	2.59	0.18	2.27	0.09	0.02	6.19	1.11	1.92	2.70	8.11	0.15	0.78	0.02	1.59	2.37	0.07	1.44	1.35	0.04	0.55	0.02	0.06	2.62	0.41	0.50	0.04	0.15	0.52	0.04	0.17	0.59	0.61	0.33	0	0.07	0.17	0.09	0.46	0.33	
HOC-AF	2441	4.42	217	0	0	0.08	2.62	0.04	0.04	5.37	0.29	0.33	0.29	0.16	2.50	0.98	0	0.86	0.16	0.66	0.45	0	7.46	0.45	0.98	0.20	2.50	0	0.45	0.04	1.56	0.04	4.75	0	0.70	21.43	1.31	0.25	0	0.49	7.54	0.98	0.37	0.61	0.08	1.31	0.90	0	1.31	0.16	5.78	0.33	0.53	0	0.37	0.08	0.33	0.53	2.29	0.29	2.95	0.29	0.08	5.98	0.98	2.74	2.99	8.44	0.12	0.78	0	1.72	2.95	0.12	1.11	1.35	0	0.70	0	0	1.47	0.12	0.33	0.04	0	0.86	0	0.08	0.37	0.33	0.16	0	0.16	0.49	0.20	0.37	0.08	
HOC-AG	3189	4.51	216	0	0	0.31	3.07	0.25	0.25	5.08	0.72	0.31	0.22	0.13	1.63	0.25	0.03	0.72	0.22	1.07	0.60	0.03	7.53	0.13	0.91	0.34	2.35	0.06	0.13	0.03	2.07	0.19	6.84	0.03	1.19	20.16	2.26	0.19	0	0.50	7.81	1.44	0.16	0.53	0.75	1.38	0.78	0	1.25	0.63	3.48	0.03	0.53	0	0.34	0.09	0.44	0.31	2.92	0.19	4.01	0.13	0.09	6.08	0.82	1.98	2.73	7.84	0.28	1.13	0.03	2.04	2.38	0	1.35	1.19	0.03	1.00	0	0.03	1.88	0.28	1.03	0.09	0.09	0.28	0.03	0.09	0.63	0.41	0.28	0.09	0.13	0.22	0.06	0.47	0.34	
HOC-AH	5176	4.67	210	0.02	0.02	0.10	3.11	0.21	0.21	5.70	0.31	0.15	0.37	0.12	2.63	0.68	0.02	0.46	0.14	1.10	0.62	0.06	9.14	0.33	0.99	0.17	3.50	0.06	0.33	0.04	1.28	0.12	8.19	0	0.64	19.59	3.54	0.14	0	0.68	9.16	1.80	0.27	0.75	0.56	0.75	1.04	0	1.08	0.31	3.71	0.15	0.31	0	0.25	0.12	0.37	0.44	2.38	0.17	1.20	0.27	0.06	5.72	1.20	1.95	2.20	7.13	0.12	0.62	0.02	1.10	2.30	0.17	0.68	0.79	0.02	0.79	0.04	0.06	1.58	0.14	0.29	0.08	0.12	0.71	0.04	0.14	0.35	0.37	0.10	0	0.12	0.15	0.14	0.37	0.10	
HOC-AI	5092	4.43	223	0	0	0.57	3.63	0.16	0.16	5.89	0.39	0.16	0.41	0.10	2.38	0.61	0.10	0.20	0.27	1.04	0.59	0.06	8.17	0.26	1.30	0.16	5.16	0.04	1.39	0.06	1.65	0.04	5.85	0	0.24	21.31	1.47	0.18	0	0.88	9.86	2.04	0.18	0.51	0.27	0.81	0.59	0.02	1.92	0.43	3.83	0.29	0.57	0	0.16	0.08	0.35	0.39	1.85	0.12	0.86	0.12	0.08	4.26	1.41	2.08	2.61	8.09	0.26	0.67	0.02	1.20	2.36	0.12	0.96	0.69	0.02	1.06	0.02	0.12	2.02	0.20	0.45	0.04	0.10	0.45	0	0.10	0.24	0.33	0.14	0.02	0.06	0.14	0.14	0.35	0.55	
HOC-AJ	5278	4.23	203	0.27	0.02	0.13	3.56	0.19	0.19	5.63	0.57	0.09	0.49	0.23	2.52	0.97	0.13	0.32	0.19	1.25	0.49	0	5.99	0.25	1.50	0.13	6.67	0	0.59	0.04	1.82	0.21	4.64	0	0.19	19.50	0.89	0.09	0	1.04	9.30	1.50	0.55	0.63	0.25	1.04	1.08	0	2.18	0.53	4.02	0.27	1.12	0	0.19	0.08	0.42	0.17	2.33	0.13	1.25	0.09	0.09	5.87	1.19	2.97	1.65	8.30	0.15	0.81	0.02	1.59	2.41	0.02	2.63	0.47	0.06	0.51	0.04	0.15	1.78	0.27	0.28	0.02	0.06	0.30	0.02	0.08	0.21	0.38	0.17	0.08	0.09	0.15	0.02	0.27	0.13	
HOC-AK	3129	4.34	203	0.03	0	0.32	3.26	0.10	0.10	5.15	0.48	0.16	0.35	0.26	1.98	0.61	0.06	0.45	0.16	0.64	0.32	0.10	9.62	0.13	0.93	0.19	4.89	0	0.42	0	1.92	0.06	8.12	0	0.10	20.29	2.01	0.19	0	0.93	9.46	2.05	0.32	0.54	0.38	0.86	1.89	0	1.09	0.22	4.44	0.13	0.35	0	0.29	0.03	0.35	0.38	1.60	0.13	0.93	0.13	0.03	5.15	0.45	1.98	1.85	7.48	0.19	0.83	0	1.53	2.65	0.03	1.34	0.61	0	0.58	0.10	0.16	1.66	0.16	0.22	0.06	0.10	0.51	0	0.19	0.13	0.19	0.06	0	0.16	0.10	0.06	0.19	0.35	
HOC-AL	929	4.88	234	0	0	0.75	3.88	0	0	5.27	0.54	0.22	0.43	0.22	1.94	1.29	0.11	0.43	0.32	0.65	0.43	0	7.21	0.32	0.97	0	3.12	0	0	0.32	1.29	0	7.64	0	0.11	19.70	3.44	0.11	0	0.86	8.93	1.18	0.11	0.65	0.75	1.40	4.31	0	1.08	0.43	3.77	0.32	0.97	0	0	0.11	0.75	0.86	2.69	0.22	0.86	0.22	0	8.72	0.75	1.51	3.34	4.31	0.32	0.54	0	0.32	2.37	0.22	0.43	1.40	0	1.18	0.11	0.11	1.83	0.32	0.22	0.11	0.22	0.54	0.22	0	0.32	0.11	0	0	0.22	0	0.11	0.22	0.65	
HOC-AM	4299	4.59	214	0	0	0.23	3.42	0.05	0.05	5.23	0.60	0.28	0.37	0.16	2.23	0.63	0.09	0.42	0.26	1.54	0.56	0	7.44	0.33	0.88	0.35	2.37	0	0.74	0.05	1.98	0.05	6.26	0	1.33	19.59	2.09	0.12	0	0.72	9.03	1.07	0.51	0.93	0.44	0.95	1.09	0	1.16	0.44	3.84	0.23	0.19	0	0.35	0.02	0.56	0.54	2.49	0.09	2.88	0.23	0.02	6.35	0.93	1.58	4.37	6.51	0.14	0.72	0	1.51	2.09	0.02	0.49	2.37	0	1.07	0.07	0.07	1.70	0.12	0.44	0.02	0.09	0.70	0.02	0.07	0.56	0.19	0.07	0.05	0.14	0.26	0.16	0.28	0.23	
HOC-AN	4161	4.36	226	0	0	0.26	3.65	0.29	0.29	5.55	0.46	0.17	0.65	0.10	1.85	0.55	0.05	0.58	0.26	1.80	1.13	0.05	8.53	0.46	0.94	0.58	3.60	0	0.07	0.02	1.71	0.07	5.41	0	0.14	19.44	2.16	0.07	0.05	0.58	7.88	1.97	0.36	0.65	0.46	1.47	1.85	0	1.13	0.34	3.82	0.19	0.31	0	0.24	0.14	0.58	0.36	1.63	0.31	3.00	0.19	0.10	5.43	2.21	1.68	2.28	7.95	0.10	1.18	0	1.49	2.91	0.19	1.20	1.01	0	0.58	0	0.05	2.84	0.26	0.77	0.02	0.29	0.65	0	0.10	0.19	0.70	0.14	0.02	0.19	0.34	0.07	0.26	0.26	
HOC-AO	4017	4.27	210	0.27	0.02	0.62	3.36	0.15	0.15	6.02	0.90	0.30	0.45	0.12	2.09	0.55	0.05	0.52	0.32	1.32	0.75	0.15	8.39	0.10	1.07	0.22	3.31	0.07	0.55	0.07	1.69	0.22	6.42	0	0.47	20.69	1.34	0.05	0.02	0.47	8.71	2.71	0.20	0.92	0.85	1.05	0.60	0.02	1.29	0.57	4.13	0.32	0.60	0	0.20	0.07	0.47	0.40	1.97	0.15	1.62	0.07	0.02	5.20	1.97	2.12	2.04	7.59	0.40	0.92	0	1.72	2.17	0.15	2.09	0.80	0	0.60	0.05	0.05	2.04	0.17	0.72	0.07	0.12	0.35	0	0.27	0.25	0.37	0.20	0	0.15	0.32	0.07	0.47	0.77	
HOC-AP	2676	4.45	227	0.04	0	0.11	2.95	0.34	0.34	5.98	0.56	0.30	0.56	0.11	1.98	1.53	0.04	0.49	0.19	0.71	0.64	0	8.03	0.34	0.78	0.30	2.17	0.04	0.41	0.04	1.57	0.04	6.91	0.22	0.34	20.59	2.54	0.22	0	0.75	8.89	1.57	0.30	0.90	0.22	0.75	1.27	0	1.35	0.37	4.19	0.41	1.61	0	0.07	0.04	0.30	0.82	2.06	0.11	1.38	0.30	0.11	7.25	1.31	2.13	1.98	6.17	0.26	0.64	0	1.38	2.17	0.11	1.49	1.05	0.07	0.49	0	0.04	1.35	0.56	0.11	0.07	0.04	0.60	0	0.15	0.19	0.22	0.22	0.04	0.15	0.19	0.04	0.26	0.15	
HOC-AQ	906	4.75	228	0	0	0.44	1.66	0.11	0.11	5.08	0.55	0.33	0.22	0.22	2.65	0.55	0	0.88	0.33	1.43	0.33	0.22	7.51	0.11	0.44	0.22	3.31	0	0	0	1.99	0.44	6.73	0	0.22	19.43	4.42	0.11	0	0.33	10.60	1.88	0.33	0.55	0.11	1.32	1.32	0	0.66	0.22	3.86	0.44	0.99	0	0.33	0.22	0.55	0.22	2.10	0.11	1.32	0.33	0.11	5.08	1.32	1.88	2.76	7.40	0.11	0.88	0	0.66	2.76	0	0.77	1.21	0	0.88	0	0	1.99	0.22	0.55	0	0.22	0.66	0	0	0.44	0.33	0.11	0	0	0.33	0.11	0.55	0.44	
HOC-AR	1697	4.55	214	0	0	0.06	2.24	0	0	4.07	0.24	0.18	0.24	0.12	1.77	0.41	0	0.47	0.29	2.12	0.47	0.12	11.73	0.29	0.77	0.12	1.24	0	0.71	0.06	1.71	0.06	6.48	0	0.53	21.45	2.36	0.06	0.06	0.88	10.55	1.59	0.24	0.82	0.59	0.82	0.41	0.06	0.82	0.12	3.18	0.06	0.06	0	0.24	0	0.65	0.29	2.36	0.47	1.94	0.12	0.06	4.60	3.48	2.00	2.89	4.42	0.24	1.47	0	1.12	2.06	0.12	0.41	1.47	0	0.88	0	0.12	1.59	0.29	0.29	0.06	0.24	0.59	0	0.06	0.35	0.35	0.24	0	0.12	0.71	0.18	0.41	0.06	
HOC-AS	2826	4.56	232	0	0	0.18	3.68	0.14	0.14	5.10	0.60	0.14	0.64	0.04	1.45	0.81	0.04	0.39	0.21	0.74	0.81	0.04	10.58	0.42	1.03	0.35	2.05	0	0.18	0	1.70	0.11	6.94	0	0.39	23.18	2.62	0.14	0.04	0.53	10.05	1.38	0.21	0.67	0.35	0.88	1.70	0.04	1.20	0.32	3.61	0.18	0.11	0	0.39	0.04	0.46	0.46	2.30	0.35	1.34	0.25	0.07	5.80	0.96	1.98	1.70	5.94	0.32	0.46	0	1.13	2.12	0.04	0.92	0.71	0.04	0.28	0	0.21	1.52	0.11	0.71	0.14	0.11	0.67	0	0.28	0.25	0.32	0.04	0.04	0.07	0.21	0.11	0.18	0.28	
HOC-AT	1216	4.39	204	0	0	0.16	2.22	0.16	0.16	4.93	0.58	0.58	0.41	0.08	2.14	0.74	0	0.99	0.25	1.81	0.74	0	9.38	0.74	0.74	0.08	3.37	0.08	0.16	0	1.48	0.08	5.18	0	0.25	19.24	1.56	0.25	0	0.33	7.40	1.73	0.08	0.82	0.49	1.32	2.47	0	0.99	0.16	4.03	0.08	0.33	0	0.25	0	0.41	0.25	2.80	0.33	2.47	0.16	0	7.15	1.23	1.97	3.45	6.58	0.25	0.58	0	1.81	2.96	0.25	1.15	2.06	0	0.90	0	0	1.97	0.25	0.33	0.08	0.08	1.07	0	0.08	0.33	0.33	0	0.08	0.25	0.16	0	0.25	0.25	
HOC-AU	1893	4.60	209	0	0	0.42	2.91	0.63	0.69	4.86	0.95	0.05	0.63	0	1.69	0.79	0	0.37	0.26	0.69	0.53	0	8.93	0.21	0.79	0.05	2.96	0.05	0.21	0	1.48	0	6.60	0	1.16	20.23	2.54	0.32	0	0.37	10.35	1.53	0.11	0.85	0.74	0.69	1.80	0.05	1.64	0.32	4.12	0.16	0.42	0.05	0.21	0.11	0.21	0.05	2.96	0.32	2.17	0.26	0.05	8.03	0.53	1.90	2.38	5.34	0.26	0.79	0.05	1.06	1.64	0.32	0.90	1.00	0.05	0.26	0	0.11	1.53	0.16	0.37	0.05	0	0.63	0.11	0.26	0.90	0.32	0.21	0	0	0.48	0.21	0.53	0.74	
HOC-AV	904	4.81	231	0	0	0.11	3.43	0	0	5.09	1.00	0.11	0.22	0	2.43	0.33	0	0.33	0.55	0.33	0.33	0	7.85	0.55	1.22	0.55	2.10	0.11	0.33	0	1.88	0.11	7.85	0	0.88	21.24	3.65	0.22	0	0.77	9.18	1.33	0.66	0.66	0.77	1.22	0.66	0	1.55	0.44	2.99	0.11	0	0	0.66	0.22	0.88	0.11	1.33	0.11	3.21	0.11	0	4.31	1.77	3.10	2.32	7.08	0.11	0.22	0	1.33	2.88	0	0.88	1.77	0	0.11	0	0.11	2.77	0.11	0.44	0	0	0.44	0	0.11	0.66	0.44	0.11	0	0	0	0	0.44	0.11	
HOC-AW	1033	4.45	213	0	0	0.19	1.94	0.19	0.19	5.32	0.97	0.29	0.29	0.19	1.65	0.29	0	0.19	0.29	0.77	0.29	0	8.03	0.10	1.45	0.29	2.03	0	0	0	1.36	0.19	5.52	0	0.29	24.49	1.94	0.10	0.10	0.68	10.75	1.06	0.48	0.19	0.77	0.87	0.87	0	1.16	0.10	4.07	0.68	0.48	0	0.10	0.10	0.29	0.19	2.32	0.19	4.84	0.10	0	4.45	1.55	1.65	2.81	7.26	0.19	0.87	0	1.36	2.13	0.19	1.26	0.68	0	1.16	0.10	0	2.52	0.10	0.39	0.10	0.10	0.58	0	0.29	0.77	0.29	0.10	0	0	0.48	0	0	0.19	
HOC-AX	2767	4.75	206	0	0	0.04	2.17	0	0	5.46	0.18	0.47	0.22	0.25	2.42	0.72	0.04	0.47	0.29	1.08	0.43	0.04	9.47	0.25	0.54	0.61	2.06	0.11	0.33	0	1.52	0.04	7.16	0	0.33	19.70	4.23	0.18	0	1.30	9.43	1.52	0.29	0.76	0.43	1.12	1.88	0.04	1.37	0.14	2.89	0.18	0.29	0	0.29	0.18	0.54	0.61	2.24	0.22	1.77	0.11	0	6.18	0.69	1.77	2.71	6.54	0.18	0.54	0	1.05	2.17	0.14	0.43	0.94	0	0.80	0.07	0.04	1.59	0.22	0.36	0.07	0.14	0.83	0.04	0.04	0.54	0.29	0	0.04	0.18	0.40	0.22	0.43	0.04	
HOC-AY	4858	4.44	210	0	0	0.14	2.80	0.06	0.06	5.66	0.16	0.23	0.27	0.10	2.37	0.68	0.02	0.82	0.23	0.64	0.64	0.08	8.38	0.25	0.45	0.21	2.39	0	0.23	0.04	1.56	0.08	5.64	0	1.61	20.89	1.61	0.14	0.04	0.80	9.26	1.07	0.25	0.84	0.35	0.78	0.89	0.02	1.15	0.27	4.06	0.12	0.33	0	0.33	0.04	0.41	0.31	1.87	0.21	4.92	0.02	0	6.26	1.69	1.71	3.73	6.22	0.08	0.99	0	1.50	2.18	0.23	0.54	1.81	0	0.97	0.02	0.08	1.65	0.33	0.39	0.02	0.06	0.45	0.04	0.06	0.49	0.35	0.08	0	0.25	0.31	0.06	0.10	0.16	
HOC-AZ	5484	4.15	217	0.09	0	0.13	3.39	0.26	0.26	5.23	0.58	0.40	0.40	0.07	2.08	1.50	0.09	0.15	0.07	0.69	0.29	0.09	9.76	0.26	0.84	0.11	6.64	0.02	0.57	0.02	1.68	0.04	6.24	0	0.07	21.66	0.97	0.11	0	0.33	11.11	0.77	0.42	0.27	0.44	0.84	0.40	0.02	1.55	0.35	3.74	0.58	0.53	0	0.09	0.04	0.26	0.49	1.93	0.07	1.88	0.16	0.02	3.54	6.53	2.21	2.26	3.45	0.11	0.46	0	0.73	2.08	0.05	0.78	0.86	0.02	0.67	0.02	0.05	1.42	0.22	0.27	0.05	0.11	0.36	0.04	0.16	0.31	0.22	0.09	0.04	0	0.31	0.07	0.31	0.13	
