Filename	Tokens	AWL	TTR	#	$	''	,	-LRB-	-RRB-	.	:	AMP	ANDC	CAUS	CC	CD	CONC	COND	CONJ	DEMO	DEMP	DPAR	DT	DWNT	EMPH	EX	FPP1	FW	GER	HDG	IN	INPR	JJ	LS	NEMD	NN	NOMZ	OSUB	PDT	PHC	PIN	PIT	PLACE	POMD	POS	PRED	PRMD	PRP	QUAN	QUPR	RB	RP	SPP2	SYM	SYNE	THAC	THVC	TIME	TO	TOBJ	TPP3	TSUB	UH	VB	VBD	VBG	VBN	VPRT	WDT	WP	WPS	XX0	[BEMA]	[BYPA]	[CONT]	[PASS]	[PASTP]	[PEAS]	[PIRE]	[PRESP]	[PRIV]	[PROD]	[PUBV]	[SERE]	[SMP]	[SPAU]	[SPIN]	[STPR]	[SUAV]	[THATD]	[WHCL]	[WHOBJ]	[WHQU]	[WHSUB]	[WZPAST]	[WZPRES]	``	
HOC-MI	6895	4.29	222	0	0.01	0.04	2.76	0.13	0.13	6.34	0.62	0.45	0.44	0.09	2.51	1.51	0.01	0.38	0.12	0.84	0.32	0.04	6.74	0.26	0.64	0.32	7.40	0.06	0.62	0.04	1.58	0.06	4.57	0	0.17	20.80	1.73	0.06	0	0.91	10.94	1.12	0.55	0.96	0.13	0.97	0.38	0	2.00	0.74	3.79	0.23	0.20	0	0.17	0.03	0.30	0.41	1.91	0.12	1.17	0.01	0.01	4.68	4.15	2.64	2.12	5.98	0.30	0.55	0.03	0.71	2.67	0.07	0.46	0.70	0	0.91	0.03	0.12	1.78	0.17	0.30	0.04	0.09	0.45	0.03	0.09	0.39	0.25	0.09	0.06	0.03	0.33	0.07	0.49	0.04	
HOC-MJ	2835	4.55	218	0	0	0.39	4.20	0.14	0.14	4.90	0.28	0.32	0.74	0.28	2.43	1.02	0.04	0.25	0.49	1.13	0.71	0.07	8.78	0.21	0.99	0.28	3.03	0	0.49	0.07	1.62	0.14	6.53	0	1.16	20.42	1.90	0.35	0	0.81	9.38	2.15	0.25	0.99	0.25	1.20	0.53	0	1.66	0.18	3.70	0.14	0.04	0	0.42	0.11	0.56	0.28	2.05	0.14	0.49	0.28	0.07	5.50	1.48	1.55	2.93	6.81	0.07	0.81	0	1.45	2.65	0.04	0.67	1.16	0	0.85	0.04	0.14	2.89	0.35	0.60	0	0.18	0.71	0	0.18	0.39	0.39	0.07	0	0.18	0.07	0.28	0.39	0.39	
HOC-MK	5740	4.41	216	0.02	0	0.45	3.00	0.19	0.19	6.08	0.56	0.17	0.51	0.12	1.81	0.54	0.03	0.59	0.30	1.60	0.66	0.05	8.07	0.33	1.43	0.26	2.33	0	0.19	0.03	1.50	0.12	5.94	0	0.91	19.32	2.61	0.05	0.05	0.45	9.18	1.13	0.23	0.57	0.57	1.03	1.11	0	1.03	0.30	4.18	0.21	0.54	0	0.35	0.17	0.26	0.75	1.93	0.12	4.74	0.09	0.19	5.51	2.67	1.59	3.10	6.46	0.14	0.96	0	1.24	2.75	0.10	1.15	1.10	0.02	1.60	0.02	0.03	2.02	0.30	0.38	0.07	0.19	0.80	0.05	0.07	0.24	0.57	0.14	0.03	0.16	0.09	0.05	0.19	0.51	
HOC-ML	8737	4.57	214	0.05	0.05	0.65	3.19	0.14	0.14	5.35	0.40	0.23	0.45	0.10	1.95	0.72	0.07	0.48	0.35	1.47	0.72	0.05	8.71	0.32	0.68	0.42	2.58	0.06	0.31	0.02	1.49	0.10	6.59	0.06	0.60	19.49	2.85	0.14	0.01	0.64	9.61	1.25	0.32	0.88	0.35	1.04	0.86	0.02	1.33	0.31	4.04	0.23	0.34	0	0.35	0.14	0.38	0.31	2.38	0.19	2.05	0.14	0.01	5.55	1.76	2.01	3.12	7.03	0.21	0.92	0	1.35	2.43	0.23	0.77	1.55	0.05	0.70	0.08	0.06	1.61	0.16	0.24	0.05	0.26	0.37	0	0.11	0.33	0.24	0.10	0.01	0.17	0.39	0.13	0.35	0.64	
HOC-MM	3670	4.43	201	0.03	0.03	0.30	3.13	0.25	0.25	5.37	0.38	0.25	0.52	0.08	2.32	0.33	0.03	0.60	0.38	1.25	0.87	0	7.85	0.22	1.01	0.27	3.22	0.08	0.25	0.08	1.14	0.08	5.48	0	1.06	18.66	1.63	0.27	0	0.41	8.75	1.44	0.14	0.98	0.44	0.93	1.01	0.03	1.31	0.65	3.95	0.14	0.22	0	0.57	0.03	0.35	0.16	2.62	0.14	2.51	0.03	0.08	6.73	2.15	2.53	4.20	6.35	0.38	0.90	0	1.91	2.15	0.05	0.84	2.10	0.08	1.12	0	0.05	1.80	0.38	0.60	0.11	0.22	0.63	0.05	0.19	0.57	0.33	0.25	0.03	0.16	0.25	0.19	0.46	0.30	
HOC-MN	3427	4.56	223	0	0	0.67	3.59	0.15	0.15	5.02	0.35	0.15	0.67	0.12	1.90	1.34	0.12	0.38	0.09	0.79	0.47	0	8.90	0.26	0.82	0.50	1.66	0	0.09	0.06	1.46	0.06	5.63	0	0.64	24.45	2.57	0.26	0	1.05	9.69	1.58	0.20	0.79	0.61	0.61	1.52	0.03	0.82	0.15	3.65	0.15	0.23	0	0.41	0.03	0.58	0.29	1.81	0.23	1.81	0.15	0	5.28	0.73	1.96	2.68	7.56	0.09	0.79	0.03	1.34	2.10	0.18	0.76	1.05	0	0.88	0	0.20	2.19	0.15	0.38	0.03	0.18	0.61	0	0.03	0.53	0.35	0.12	0.06	0.20	0.32	0.12	0.23	0.73	
HOC-MO	3032	4.26	206	0.26	0.10	0.30	3.13	0.40	0.49	5.57	0.49	0.30	0.36	0.13	1.85	1.15	0.10	1.12	0.23	0.86	0.69	0.03	7.98	0.46	0.92	0.33	2.87	0.13	0.33	0.03	1.15	0.10	5.57	0.16	0.40	20.42	1.22	0.16	0	0.40	9.73	1.95	0.26	0.82	0.49	1.09	2.34	0	1.35	0.33	4.29	0.20	0.79	0.03	0.13	0	0.36	0.26	2.47	0.23	1.91	0.30	0	6.89	0.89	2.57	1.98	6.79	0.36	0.46	0	1.22	2.21	0.03	1.52	0.69	0	0.56	0.07	0.03	1.55	0.07	0.63	0.10	0	0.73	0	0.13	0.30	0.33	0	0.03	0.03	0.23	0.07	0.36	0.36	
HOC-MP	668	4.51	222	0	0	0.15	2.84	0.15	0.15	5.39	0	0	0.45	0.15	2.10	0.30	0.30	1.20	0.45	0.45	0.45	0	8.68	0.30	0.90	0.30	1.95	0.15	0.90	0.15	1.20	0	6.29	0	0.30	22.16	2.25	0	0	0.60	10.03	0.90	0	1.50	0.75	0.30	1.35	0	0.45	0.45	5.09	0.15	0.45	0	0.60	0	0	0.15	1.50	0	3.14	0.15	0	6.44	0.15	3.29	2.10	6.89	0.15	1.20	0	1.65	2.25	0	1.65	1.50	0	0.15	0	0	1.35	0.45	0.45	0	0	0.75	0	0.15	0.30	0.75	0.45	0	0.15	0.60	0	0.60	0.15	
HOC-MQ	3303	4.56	229	0	0	0.39	2.15	0.18	0.18	5.78	0.36	0.24	0.39	0.18	2.12	0.36	0	0.48	0.36	0.85	0.70	0.03	8.84	0.36	0.94	0.24	3.12	0.06	0.39	0.03	1.60	0.03	6.87	0	0.45	20.07	2.09	0.12	0	0.91	10.08	0.97	0.18	0.79	0.39	0.94	0.94	0	1.39	0.33	4.12	0.12	0.33	0	0.36	0.03	0.51	0.33	2.12	0.18	1.48	0.21	0	5.06	1.63	2.06	3.51	7.51	0.33	0.91	0.03	1.54	2.36	0.12	0.88	1.57	0	1.06	0.06	0.15	1.45	0.18	0.58	0.06	0.12	0.54	0.03	0.15	0.42	0.33	0.12	0.06	0.12	0.18	0.06	0.58	0.42	
HOC-MR	1142	4.80	234	0.18	0	0.09	2.89	0.53	0.53	5.34	0.26	0.35	0.26	0	2.28	0.70	0.35	0.44	0.26	0.35	0.61	0	7.01	0.26	0.79	0.44	2.89	0	1.49	0	2.19	0.18	6.65	0	0.44	22.07	3.06	0.18	0	1.58	9.19	1.58	0.44	1.05	0.09	0.79	0.96	0	1.84	0.18	3.59	0	0.26	0	0	0.18	0.53	0.35	2.45	0	0.44	0.26	0	5.95	1.84	2.28	2.45	6.22	0.18	0.53	0	1.49	2.19	0.18	0.61	1.40	0.09	0.26	0	0.09	1.14	0.53	0.26	0.09	0.18	0.88	0	0	0.18	0.18	0.09	0.09	0.09	0.18	0.18	0.18	0.09	
HOC-MS	2064	4.50	213	0	0	0.19	2.86	0.10	0.24	5.04	0.63	0.10	0.44	0.05	2.42	0.44	0.19	0.29	0.34	1.07	0.44	0.05	8.67	0.19	1.07	0.39	3.92	0.05	0.10	0	1.79	0.05	7.46	0.15	0.87	19.14	1.94	0.19	0	0.48	9.54	1.55	0.15	0.53	0.58	0.87	0.58	0	1.26	0.24	3.54	0.24	0.19	0	0.48	0.05	0.78	0.44	2.57	0.19	2.03	0.05	0.05	5.96	1.50	1.60	3.39	7.27	0.19	0.82	0	1.50	2.18	0.29	1.16	1.89	0.05	0.53	0.05	0.10	2.18	0.19	0.48	0	0.15	0.63	0	0.15	0.48	0.05	0.05	0.05	0.05	0.44	0.19	0.10	0.39	
HOC-MT	9841	4.58	218	0.02	0.03	0.38	3.25	0.14	0.14	5.58	0.55	0.13	0.40	0.08	1.93	1.12	0.06	0.52	0.43	1.04	0.82	0.06	10.20	0.32	0.59	0.27	2.94	0.03	0.60	0.05	1.47	0.09	6.32	0	0.57	19.12	3.35	0.20	0.02	0.81	9.46	1.48	0.26	0.61	0.32	0.84	0.91	0.01	0.98	0.27	4.10	0.14	0.36	0	0.36	0.12	0.57	0.32	1.90	0.19	1.58	0.07	0.02	5.01	2.62	1.69	3.45	6.36	0.18	1.02	0.01	1.37	2.44	0.14	0.73	1.54	0.04	0.97	0.02	0.08	2.13	0.16	0.47	0.06	0.16	0.54	0.02	0.09	0.44	0.39	0.12	0.04	0.17	0.33	0.18	0.26	0.44	
HOC-MU	3431	4.40	225	0.06	0	0.58	3.93	0.23	0.23	6.30	0.90	0.26	0.41	0.03	2.22	0.79	0.06	0.29	0.29	0.50	0.44	0.03	7.75	0.23	1.05	0.20	3.93	0.06	0.99	0.06	1.52	0.09	9.33	0	0.06	21.80	1.31	0.20	0	1.69	9.44	1.17	0.47	0.90	0.23	1.43	0.44	0.03	1.66	0.47	4.34	0.20	0.61	0	0.26	0.03	0.52	0.26	1.49	0.12	0.82	0.35	0.12	3.79	1.87	1.17	2.39	7.69	0.23	0.64	0	1.22	2.86	0.03	0.96	0.70	0.06	0.90	0.03	0.15	1.46	0.06	0.55	0.03	0.09	0.64	0	0.06	0.15	0.20	0.09	0.03	0.09	0.23	0.12	0.12	0.55	
HOC-MV	6157	4.48	218	0.23	0	0.16	3.00	0.31	0.31	5.38	0.52	0.32	0.52	0.13	2.40	1.59	0.05	0.49	0.44	0.81	0.63	0.08	8.10	0.24	1.23	0.24	3.56	0.02	1.04	0.03	1.59	0.08	6.03	0.02	0.60	20.58	1.95	0.13	0	0.60	9.68	0.75	0.29	0.63	0.37	1.14	1.02	0	1.35	0.21	3.87	0.26	0.45	0.02	0.26	0.05	0.49	0.36	2.03	0.15	1.85	0.18	0.06	5.52	1.20	1.97	2.42	7.42	0.15	0.81	0.02	1.48	2.47	0.08	1.06	1.23	0	0.41	0.03	0.06	1.41	0.37	0.39	0.08	0.11	0.47	0.03	0.11	0.47	0.28	0.08	0.02	0.11	0.31	0.15	0.31	0.19	
HOC-MW	2841	4.36	233	0	0	0.60	2.71	0.14	0.14	5.77	0.56	0.46	0.42	0.21	2.43	0.63	0.07	0.56	0.32	1.20	0.77	0.07	6.58	0.32	1.80	0.25	2.85	0.04	0.21	0.04	1.55	0.04	5.07	0	0.67	18.55	2.01	0.11	0	1.20	8.20	1.80	0.42	0.63	0.70	1.16	0.46	0.11	1.72	0.25	4.68	0.39	0.70	0	0.28	0.07	0.28	0.39	2.43	0.11	4.44	0.14	0.14	5.56	1.41	1.69	1.97	8.91	0.11	1.02	0	1.65	2.96	0.04	2.04	0.81	0.04	0.49	0.04	0.11	2.08	0.18	0.32	0	0.77	0.56	0.04	0.04	0.28	0.32	0.21	0.04	0.11	0.14	0.18	0.32	0.53	
HOC-MX	5139	4.41	217	0	0	0.33	3.54	0.29	0.29	5.49	0.45	0.25	0.53	0.21	2.24	0.62	0.04	0.66	0.33	0.78	0.72	0.02	10.12	0.43	1.19	0.39	2.65	0.10	0.37	0.02	1.21	0.06	5.97	0	0.82	21.99	1.30	0.14	0	0.54	8.85	0.93	0.18	0.54	0.14	0.95	0.97	0.02	0.99	0.18	4.48	0.31	0.39	0	0.27	0	0.41	0.33	2.06	0.14	2.24	0.21	0.14	5.88	1.05	1.91	2.72	7.67	0.16	0.53	0	1.71	2.34	0.06	0.84	1.56	0.06	0.37	0.04	0.21	1.46	0.12	0.29	0.06	0.10	0.54	0.02	0.06	0.43	0.31	0.08	0	0.06	0.18	0.06	0.35	0.41	
CORPUS	4434.39	4.49	219.38	0.03	0.01	0.38	3.23	0.21	0.21	5.54	0.53	0.26	0.48	0.15	2.12	0.79	0.06	0.49	0.27	0.98	0.63	0.05	8.31	0.31	0.97	0.28	3.19	0.05	0.39	0.04	1.55	0.10	6.41	0.01	0.55	20.50	2.25	0.17	0.01	0.80	9.45	1.51	0.31	0.73	0.40	1.01	1.07	0.01	1.29	0.33	3.95	0.22	0.54	0.01	0.28	0.08	0.39	0.41	2.24	0.18	2.14	0.18	0.06	5.67	1.59	2.07	2.48	7.10	0.21	0.75	0.01	1.34	2.43	0.10	1.01	1.04	0.02	0.73	0.04	0.10	1.71	0.21	0.45	0.06	0.13	0.56	0.02	0.12	0.39	0.34	0.11	0.03	0.13	0.26	0.11	0.31	0.40	
